iterations, ghc-7.6.1 Record compile, ghc-7.6.1 Record run, ghc-7.6.1 SkewRecord compile, ghc-7.6.1 SkewRecord run, ghc-7.6.1 ArrayRecord compile, ghc-7.6.1 ArrayRecord run
0, 0.35415s, 0.000001s, 0.542339s, 0.000001s, 0.364571s, 0s, 
25, 0.465732s, 0.000001s, 0.548646s, 0.000001s, 0.555757s, 0.000001s, 
50, 0.628816s, 0.000001s, 0.83504s, 0.000001s, 0.863523s, 0.000001s, 
75, 0.885627s, 0.000001s, 1.272929s, 0.000001s, 1.124134s, 0.000001s, 
100, 1.150933s, 0s, 1.82854s, 0.000001s, 1.523422s, 0.000001s, 
125, 1.464157s, 0s, 2.539948s, 0.000001s, 1.966564s, 0.000001s, 
150, 1.872857s, 0.000001s, 3.534014s, 0.000001s, 2.556457s, 0.000001s, 
175, 2.324693s, 0.000001s, 4.863182s, 0.000001s, 3.304294s, 0.000001s, 
200, 2.880333s, 0.000001s, 6.170958s, 0.000001s, 4.113335s, 0.000001s, 
225, 3.416096s, 0s, 7.807033s, 0.000001s, 4.84355s, 0.000001s, 
250, 4.107461s, 0s, 9.723945s, 0.000001s, 5.929959s, 0.000001s, 
275, 4.849498s, 0.000002s, 13.202035s, 0.000001s, 6.762689s, 0.000001s, 
300, 6.124851s, 0.000001s, 15.80042s, 0.000002s, 8.308778s, 0.000001s, 
325, 6.255223s, 0.000001s, 19.070524s, 0.000001s, 9.566747s, 0.000001s, 
350, 7.525808s, 0.000001s, 21.9406s, 0.000001s, 11.564154s, 0.000002s, 
375, 8.608107s, 0s, 27.499842s, 0.000001s, 13.175199s, 0.000001s, 
400, 9.642281s, 0.000001s, 31.292852s, 0.000001s, 15.582769s, 0.000001s, 
