iterations, ghc-7.6.1 Record compile, ghc-7.6.1 Record run, ghc-7.6.1 ArrayRecord compile, ghc-7.6.1 ArrayRecord run, ghc-7.6.1 SkewRecord compile, ghc-7.6.1 SkewRecord run
0, 0.068216s, 0.0199s, 0.069881s, 0.075509s, 0.069485s, 0.021921s, 
25, 0.067888s, 0.018524s, 0.067175s, 0.527873s, 0.069588s, 0.021826s, 
50, 0.069186s, 0.020192s, 0.067208s, 1.007434s, 0.068039s, 0.020728s, 
75, 0.068001s, 0.020014s, 0.0698s, 1.529394s, 0.068412s, 0.021538s, 
100, 0.067521s, 0.018334s, 0.071337s, 2.037575s, 0.07046s, 0.225241s, 
125, 0.078279s, 0.019311s, 0.069517s, 2.730467s, 0.069173s, 0.021956s, 
150, 0.067941s, 0.019058s, 0.067678s, 3.386114s, 0.067519s, 0.020313s, 
175, 0.068408s, 0.01952s, 0.073239s, 4.280081s, 0.072873s, 0.019773s, 
200, 0.070194s, 0.019263s, 0.072442s, 5.398861s, 0.067783s, 0.021613s, 
225, 0.089162s, 0.018878s, 0.068895s, 5.937629s, 0.068126s, 0.020687s, 
250, 0.070034s, 0.020172s, 0.070159s, 6.670532s, 0.071569s, 0.021738s, 
275, 0.067849s, 0.018092s, 0.068305s, 7.814347s, 0.069201s, 0.022445s, 
300, 0.068649s, 0.018874s, 0.070329s, 8.880377s, 0.072136s, 0.022682s, 
325, 0.068147s, 0.019258s, 0.069296s, 9.825636s, 0.070141s, 0.021319s, 
350, 0.070225s, 0.019204s, 0.06676s, 10.754325s, 0.067166s, 0.020158s, 
375, 0.069781s, 0.019841s, 0.073359s, 11.604074s, 0.071821s, 0.021102s, 
400, 0.071132s, 0.01946s, 0.079719s, 12.707603s, 0.070592s, 0.022817s, 
