iterations, ghc-7.6.1 Record compile, ghc-7.6.1 Record run, ghc-7.6.1 SkewRecord compile, ghc-7.6.1 SkewRecord run, ghc-7.6.1 ArrayRecord compile, ghc-7.6.1 ArrayRecord run
0, 0.350803s, 0.075099s, 0.358818s, 0.074337s, 0.35852s, 0.193225s, 
10, 0.383368s, 0.150548s, 0.435954s, 0.111308s, 0.41524s, 0.181405s, 
20, 0.449681s, 0.243331s, 0.503065s, 0.122107s, 0.506779s, 0.174972s, 
30, 0.49739s, 0.336802s, 0.582345s, 0.107968s, 0.591636s, 0.183986s, 
40, 0.559869s, 0.427628s, 0.717817s, 0.120088s, 0.707725s, 0.177469s, 
50, 0.619943s, 0.519215s, 0.832351s, 0.146758s, 0.787809s, 0.18106s, 
60, 0.702573s, 0.654622s, 0.991441s, 0.121658s, 1.142975s, 0.178316s, 
70, 0.793923s, 0.782069s, 1.156476s, 0.135262s, 1.008076s, 0.180832s, 
100, 1.103572s, 1.131662s, 1.763433s, 0.136206s, 1.482093s, 0.178274s, 
150, 1.935737s, 1.834955s, 3.538277s, 0.156654s, 2.527349s, 0.18427s, 
200, 2.864192s, 2.494953s, 6.111555s, 0.153643s, 4.032029s, 0.180913s, 
