iterations, ghc-7.6.1 Record compile, ghc-7.6.1 Record run, ghc-7.6.1 ArrayRecord compile, ghc-7.6.1 ArrayRecord run, ghc-7.6.1 SkewRecord compile, ghc-7.6.1 SkewRecord run
0, 0.344784s, 0.000001s, 0.363814s, 0.000001s, 0.356233s, 0.000001s, 
10, 0.380976s, 0.000001s, 0.410653s, 0.000001s, 0.441547s, 0.000001s, 
20, 0.443611s, 0.000001s, 0.505886s, 0.000001s, 0.502276s, 0.000001s, 
30, 0.484049s, 0.000001s, 0.559849s, 0.000001s, 0.591935s, 0.000002s, 
40, 0.565815s, 0.000001s, 0.740634s, 0.000001s, 0.719404s, 0.000001s, 
50, 0.630069s, 0.000001s, 0.811122s, 0.000001s, 0.944285s, 0.000001s, 
60, 0.725068s, 0s, 0.896219s, 0.000001s, 0.998804s, 0.000001s, 
70, 0.861076s, 0.000001s, 1.063152s, 0.000001s, 1.230613s, 0.000001s, 
100, 1.163604s, 0.000001s, 1.566201s, 0.000001s, 1.972466s, 0.000001s, 
150, 1.995481s, 0.000001s, 2.347824s, 0s, 3.505138s, 0.000001s, 
200, 2.911799s, 0.000001s, 3.72285s, 0.000001s, 6.195685s, 0.000001s, 
